Column1;codigo;nombre;CP;poblacion;direccion;zona;correspondencias;latitud;longitud
257;1056;LA MORALEJA;28109;Alcobendas;Avda de la Ermita N5 ;B1;10;40.53195565;-3.63555952
258;1055;LA GRANJA;28108;Alcobendas;Calle de Sepúlveda N1 ;B1;10;40.52759962;-3.65859209
259;1061;HOSPITAL INFANTA SOFIA;28702;San Sebastián de los Reyes;Paseo   Europa N11 ;B1;10;40.55976945;-3.61145473
260;617;REPUBLICA ARGENTINA;28002;Madrid;Calle de Joaquín Costa N24 ;A;6;40.44379457;-3.68406187
262;201;VENTAS;28028;Madrid;Calle de Alcalá N204 ;A;2. 5;40.4308848;-3.66360584
263;101;PLAZA DE CASTILLA;28046;Madrid;Paseo de la Castellana N189 ;A;1. 9. 10;40.46689604;-3.68916959
266;355;VILLAVERDE BAJO CRUCE;28021;Madrid;Avda de Andalucía N38 ;A;3;40.35089476;-3.69264894
267;922;PUERTA DE ARGANDA;28032;Madrid;Calle de San Cipriano N85 ;A;9;40.40131578;-3.5959753
268;151;CHAMARTIN;28036;Madrid;Calle de Agustín de Foxá N40 ;A;1. 10;40.47210313;-3.68259088
269;1002;BEGOÑA;28046;Madrid;Paseo de la Castellana N261 ;A;10;40.48041293;-3.6858497
270;805;FERIA DE MADRID;28042;Madrid;Avda del Partenón N5 ;A;8;40.46389315;-3.61620468
272;920;VICALVARO;28032;Madrid;Calle de San Cipriano N11 ;A;9;40.40421592;-3.60885883
274;1214;FUENLABRADA CENTRAL;28944;Fuenlabrada;Calle de la Vía SNSN ;B2;12;40.28267578;-3.7989069
275;526;EUGENIA DE MONTIJO;28047;Madrid;Calle de Ocaña N86 ;A;5;40.3843858;-3.75121118
276;253;ALSACIA;28037;Madrid;Plaza de Alsacia NS/N ;A;2;40.4182927;-3.623506
277;951;MIRASIERRA;28035;Madrid;Avda del Ventisquero de la Condesa N28 ;A;9;40.49109779;-3.71634448
278;1107;LA FORTUNA;28917;Leganés;Calle   San José N40 ;B1;11;40.35795313;-3.77782585
279;252;LA ALMUDENA;28017;Madrid;Calle de Arriaga N75 ;A;2;40.42361329;-3.63914233
280;612;SAINZ DE BARANDA;28007;Madrid;Calle del Doctor Esquerdo N103 ;A;6. 9;40.4150285;-3.66951374
282;520;PIRAMIDES;28005;Madrid;Paseo del Doctor Vallejo Nágera N37 ;A;5;40.40259817;-3.71137712
283;723;PITIS;28035;Madrid;Ctra a la Estación de Pitis N19 ;A;7;40.49510584;-3.72589123
284;1229;LEGANES CENTRAL;28913;Leganés;Calle   Virgen del Camino N1 ;B1;12;40.32898523;-3.771537
285;1203;ALCORCON CENTRAL;28922;Alcorcón;Avda de Móstoles N12 ;B1;12;40.35008434;-3.83177862
286;1206;MOSTOLES CENTRAL;28933;Móstoles;Paseo de la Estación N13 ;B2;12;40.32850022;-3.86354218
287;1222;EL CASAR;28903;Getafe;Avda del Casar N2 ;B1;12;40.31862316;-3.70985404
288;530;CASA DE CAMPO;28011;Madrid;Ctra del Zoo N1 ;A;5. 10;40.40324227;-3.76101367
