,codigo,nombre,zona,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
58,309,Ventura Rodríguez,A,112359.0,117743.0,124132.0,119589.0,119912.0,112127.0,96130.0,64782.0,113818.0,132490.0,126503.0,116516.0,112542,129286,122511,135657,129623,121855,89093,64955,121800,136261,138805,129826,131454,137386,149930,124641,141106,137928,102892,70485,128729,145728,147013,125229,139043,145098,145500,151453,150247,141367,113672,77691,136420,170396,158051,132345,146926.0,147883.0,161370,141954,146188,137718,116895,78349,146081,176940,167650,142925,160103,169366,67586,7400,15563,39334,51860,38137,60898,68139,68315,64054,59001,71306,83060,80660,84859,88456,73238,54299,104298,122684,125371,98722,92282,107991,128151,105371,112208,105911,82824,59077,115174,128757,131499,110483,121507.0,128824.0,141113.0,117631.0,129646.0,125023.0,92811.0,66133.0,119838.0,144814.0,145053.0,120847.0,133405.0,146999.0,135779.0,153519.0,139329.0,128498.0,110993.0,73818.0,129940.0,161820.0,147014.0,127742.0,135817,139365,156823,127557,136352,129730,107097,69972,129701
59,310,Argüelles,A,659986.0,650401.0,677240.0,647106.0,659479.0,625539.0,557081.0,354093.0,617663.0,724761.0,697888.0,667226.0,671067,710046,659056,719006,675077,646886,533274,376271,642038,733300,749974,698820,727280,735192,786390,662104,731662,715370,585611,386155,700686,790858,784474,709805,769663,765805,749114,777558,746573,706513,605915,391886,708595,849647,814094,723992,795485.0,785660.0,815233,719466,739787,709493,618583,386223,716505,865279,836932,741955,716728,664300,288210,41905,91942,236025,295309,205790,338117,379963,380914,374956,354801,397960,446435,427547,446390,459241,388681,263179,526407,619288,637024,529738,511211,590193,684165,568838,604936,570113,463175,320787,644525,702416,716873,644337,679135.0,708105.0,764586.0,629804.0,688020.0,663086.0,528870.0,351530.0,679611.0,783127.0,814611.0,694051.0,723984.0,785564.0,711991.0,796052.0,722124.0,671777.0,582783.0,380066.0,723204.0,868893.0,824550.0,743807.0,762259,780693,822038,695432,732925,636552,528846,341469,736431
60,311,Moncloa,A,1435518.0,1489219.0,1591749.0,1516618.0,1510256.0,1444821.0,1272286.0,834744.0,1445336.0,1731448.0,1663014.0,1538564.0,1455928,1636008,1563591,1685387,1601289,1538235,1255338,926601,1571328,1748771,1771356,1566576,1562212,1663439,1844533,1512662,1741629,1656396,1408649,1043664,1702556,1870222,1796061,1542872,1631021,1704609,1709843,1776222,1676679,1628865,1414210,991260,1681493,1965723,1840149,1620175,1685405.0,1776573.0,1876213,1652694,1715605,1667238,1541162,1052475,1816464,2097449,1930335,1645470,1759750,1886089,810361,149263,297570,654924,842805,629879,908630,979254,971059,957470,743452,983820,1143875,1088049,1144674,1200734,1079760,774996,1403454,1611685,1578007,1283832,1214067,1466432,1706021,1425003,1525879,1460036,1205281,892357,1630017,1773806,1763696,1541547,1597875.0,1748208.0,1919074.0,1604480.0,1723469.0,1686320.0,1424805.0,1062790.0,1771003.0,1973292.0,1938261.0,1677759.0,1762171.0,1946996.0,1790941.0,2004165.0,1853844.0,1736069.0,1566231.0,1144595.0,1911728.0,2220152.0,2018418.0,1793099.0,1817676,1956675,2045462,1758744,1821489,1596542,1412606,992523,1900523
61,351,Almendrales,A,136648.0,132743.0,144966.0,139395.0,143391.0,140625.0,132490.0,95438.0,141281.0,161130.0,158170.0,157611.0,147338,150476,151429,159800,157144,155152,137484,111948,156420,168935,170450,175692,172113,169022,186815,167299,186770,184731,159075,124978,175837,193432,191523,184691,189363,181360,189219,193154,195929,194191,174945,132341,180819,209664,202532,198880,202264.0,194913.0,209687,192103,206875,205867,189241,142406,194803,228555,218058,210485,216065,209214,96153,22196,44380,95996,116142,93773,106157,121657,117485,127287,123042,121666,141081,136793,146046,150960,145605,115910,156787,176451,177793,163903,153011,165582,192730,174456,188804,184598,158613,135160,192309,205868,204734,198147,207940.0,200693.0,224049.0,205546.0,218529.0,218783.0,191822.0,153546.0,207591.0,231264.0,225767.0,219977.0,222638.0,228641.0,223440.0,240108.0,236411.0,225616.0,206522.0,162734.0,227003.0,265186.0,253167.0,243878.0,241773,243751,257555,236464,258963,309761,323810,224924,296559
62,352,Hospital 12 de Octubre,A,129701.0,128327.0,135783.0,129074.0,129307.0,126444.0,113920.0,85547.0,124539.0,139223.0,137683.0,131399.0,128770,139684,136543,144178,139763,136693,112998,94491,133374,144185,147117,140534,144951,146507,166512,139807,159028,157711,132657,106023,147685,162657,164902,146797,160540,159381,160842,166800,163749,158793,141895,109873,146087,174677,166987,153537,161497.0,164010.0,177605,159867,167192,166660,153339,115084,158547,190572,180254,161610,175378,178683,89890,32200,47451,80951,93724,75166,83590,94742,94300,92219,111164,98027,112026,111799,119214,125410,114236,104720,134014,150306,152400,137498,133590,143052,166578,146706,161197,160905,134632,113629,157471,173276,178548,161566,173787.0,177029.0,196731.0,170732.0,185413.0,187408.0,157601.0,128152.0,169810.0,194910.0,189301.0,171916.0,185304.0,195155.0,182522.0,203768.0,206472.0,188288.0,176488.0,136820.0,185322.0,216546.0,195905.0,178898.0,182596,182250,194633,178709,200225,183943,214569,130716,181487
63,353,San Fermín-Orcasur,A,140930.0,136060.0,145403.0,142551.0,176587.0,143105.0,128879.0,93152.0,140172.0,162374.0,154462.0,160370.0,144721,149542,149525,163535,186671,155936,128587,102404,151832,169449,167508,174225,169762,167201,184475,161409,210022,186395,162784,118653,186144,197599,191905,182158,185574,178737,187187,192509,225894,212720,164667,125952,179593,212194,203875,203647,202605.0,195432.0,214877,189781,238909,209538,174127,133557,191590,224997,246208,206246,213092,207581,94636,21264,42224,92736,111140,90517,106137,120337,119583,123754,121274,122163,140850,139834,154514,149896,131197,115209,160683,182944,187017,170003,156587,167859,197057,183269,218503,189366,159209,129838,199253,214021,213707,202512,211782.0,210101.0,234111.0,226366.0,241203.0,214908.0,183901.0,147877.0,227167.0,239183.0,234117.0,221647.0,222487.0,227496.0,218467.0,275948.0,256096.0,227295.0,218391.0,154776.0,233367.0,268068.0,264493.0,244433.0,242189,241758,253930,258335,263325,219814,224321,157810,246731
64,354,Ciudad de los Ángeles,A,194680.0,187178.0,200660.0,192800.0,197532.0,188791.0,167448.0,123563.0,189448.0,217322.0,211572.0,214652.0,200023,203092,202062,213312,208843,199835,170323,135442,200994,217634,218757,229734,218934,214171,236364,205829,231428,225248,192211,145371,212922,238016,235456,234439,232997,223132,231897,237016,241535,233853,202273,154497,221611,252429,246496,247862,246536.0,239131.0,261778,235783,251617,242790,216593,163753,235954,278226,268374,265521,263535,261781,121296,27085,56188,120146,142466,116973,141081,151897,153486,160341,155014,152439,175889,170265,182762,187936,163308,135244,196554,221915,224670,214371,199553,212083,245948,220272,239261,230751,193784,159621,233023,253951,255990,251957,256293.0,252072.0,281195.0,250599.0,270060.0,264581.0,224472.0,180417.0,253825.0,282540.0,273605.0,275212.0,275074.0,271486.0,267371.0,287963.0,280128.0,265533.0,235897.0,189957.0,266616.0,303604.0,293969.0,292404.0,281273,275343,293096,270331,287803,261362,245092,190945,273628
65,355,Villaverde Bajo-Cruce,A,241231.0,235882.0,251639.0,242952.0,248589.0,238137.0,215165.0,160493.0,244834.0,276937.0,262357.0,253545.0,240067,248296,245968,255246,257183,256178,225239,187561,251604,275058,268854,268214,266754,272798,292025,273025,288017,289957,244991,215072,270532,303708,299207,287948,292828,280294,295260,303459,304548,301284,276876,220804,283810,331095,320752,306425,311575.0,305448.0,333658,305143,322371,318087,300011,234272,310333,359927,342857,326443,331146,333656,164280,41927,85513,167984,203467,174230,188856,205207,200328,212647,208156,207215,237932,231661,247943,256517,237481,211994,263493,313790,297404,280338,260419,280120,328274,299801,325802,320029,279698,238533,314504,336716,344958,334717,341090.0,357694.0,401976.0,359396.0,385115.0,385342.0,346760.0,287822.0,364879.0,402476.0,410123.0,397262.0,391658.0,397730.0,398144.0,427208.0,429800.0,408631.0,380828.0,319039.0,407195.0,466235.0,446739.0,431742.0,418479,414453,444663,417475,452160,424159,462591,363102,446977
66,356,San Cristóbal,A,91693.0,89707.0,98670.0,95480.0,100143.0,95121.0,90354.0,71721.0,93712.0,105613.0,102732.0,102043.0,96623,98617,100900,104661,105359,103006,91545,81794,102156,110839,108930,111925,110067,106418,119643,108302,117413,116235,104438,91686,115605,123433,118695,115607,115989,114474,123659,125850,128834,126195,117006,98318,119505,135470,129228,129584,130710.0,127562.0,143959,134023,141174,138159,129958,109055,133817,149971,145242,143153,144495,142080,76131,24432,49824,87782,99743,86168,91147,100612,98663,103899,104350,101269,115345,109069,114448,114403,104664,92175,114381,130527,125584,122871,118095,121978,139696,127691,139894,135976,121862,107890,137110,149696,148248,146466,152798.0,156197.0,177593.0,164207.0,177729.0,177123.0,164997.0,141079.0,170611.0,187888.0,186279.0,183748.0,180326.0,181744.0,184964.0,194336.0,200287.0,185198.0,174976.0,150761.0,183185.0,208755.0,206672.0,200062.0,195711,193022,208262,196142,211464,197825,197524,175522,203138
67,357,Villaverde Alto,A,171917.0,167994.0,181976.0,175134.0,182645.0,174175.0,164654.0,123399.0,171902.0,191172.0,187559.0,182220.0,173915,183489,183461,192396,193055,191073,167493,138229,191014,205662,209083,201616,200048,199716,219255,192129,213919,213811,189291,167118,205776,228007,233713,221732,234191,222493,227362,232799,235388,227965,206375,162866,217155,256725,243061,230328,238080.0,233508.0,255806,232802,246009,243833,235084,179947,235233,270181,260994,242951,252241,252220,130296,38799,74047,135767,155655,127734,143722,152679,150997,159666,163911,159127,181964,173732,182936,191817,176910,195538,199572,226319,221489,207790,193732,207762,244613,222737,244495,239958,210984,182254,240657,255332,257143,254776,261315.0,268254.0,301609.0,264669.0,284021.0,280679.0,337402.0,211315.0,267878.0,294830.0,298953.0,292401.0,292553.0,298772.0,302744.0,328632.0,322699.0,303032.0,342319.0,233886.0,312061.0,355230.0,340739.0,316662.0,315807,316891,339621,313765,323347,318915,523029,307632,348205
