,codigo,nombre,CP,poblacion,direccion,zona,correspondencias,latitud,longitud,media_miles,ranking
0,722,ARROYOFRESNO,28035,Madrid,Calle de Federica Montseny N2 ,A,7,40.49089827,-3.7260354,26.38,237
1,211,NOVICIADO,28015,Madrid,Calle de San Bernardo N49 ,A,2. 3. 10,40.42484223,-3.70741904,163.58,137
2,1013,LAGO,28011,Madrid,Ronda del Lago N3 ,A,10,40.41641411,-3.73563106,106.7,194
3,1014,BATAN,28011,Madrid,Paseo de la Venta N1 ,A,10,40.40786021,-3.75310994,168.09,132
4,112,SOL,28013,Madrid,Plaza de la Puerta del Sol N6 ,A,1. 2. 3,40.41687606,-3.70326165,1712.89,2
5,618,NUEVOS MINISTERIOS,28046,Madrid,Calle de Raimundo Fernández Villaverde N67 ,A,6. 8. 10,40.44662122,-3.69240646,1311.62,4
6,915,ESTRELLA,28030,Madrid,Calle del Camino de los Vinateros N1 ,A,9,40.41147222,-3.66178527,151.34,145
7,409,LISTA,28006,Madrid,Calle del Conde de Peñalver N45 ,A,4,40.42916852,-3.67540982,131.34,165
8,528,EMPALME,28024,Madrid,Calle de Tembleque N105 ,A,5,40.39057256,-3.76534788,107.55,193
9,422,MANOTERAS,28033,Madrid,Calle de Bacares N24 ,A,4,40.47687423,-3.66289548,80.92,221
10,353,SAN FERMIN-ORCASUR,28041,Madrid,Avda de Andalucía N9 ,A,3,40.36999093,-3.69417641,227.63,85
11,127,CONGOSTO,28031,Madrid,Calle del Congosto N48 ,A,1,40.37238237,-3.61884135,136.29,159
12,354,CIUDAD DE LOS ANGELES,28041,Madrid,Avda de Andalucía N38 ,A,3,40.35958543,-3.69362644,262.84,63
13,356,SAN CRISTOBAL,28021,Madrid,Avda de Andalucía N81 ,A,3,40.34154194,-3.6931803,183.94,119
14,1021,PUERTA DEL SUR,28924,Alcorcón,Avda de Leganés N52 ,B1,10. 12,40.34543087,-3.81248918,262.72,64
15,755,COSLADA CENTRAL,28821,Coslada,Calle del Doctor Fleming N41 ,B1,7,40.42373621,-3.56119235,204.41,104
16,704,GARCIA NOBLEJAS,28017,Madrid,Calle de Luis del Campo N1 ,A,7,40.42842319,-3.63329947,187.14,114
17,707,BARRIO DE LA CONCEPCION,28027,Madrid,Calle de Martínez Villergas N1 ,A,7,40.4390994,-3.652004,187.87,113
18,114,ANTON MARTIN,28012,Madrid,Calle de Atocha N50 ,A,1,40.41246357,-3.69937296,229.87,83
19,711,GREGORIO MARAÑON,28003,Madrid,Calle de José Abascal N65 ,A,7. 10,40.438251,-3.69148286,323.47,44
20,712,ALONSO CANO,28010,Madrid,Calle de José Abascal N18 ,A,7,40.43837538,-3.69924564,141.7,152
21,716,FRANCOS RODRIGUEZ,28039,Madrid,Avda de Pablo Iglesias N87 ,A,7,40.45648182,-3.71238667,214.31,93
22,718,ANTONIO MACHADO,28039,Madrid,Calle de Valderrodrigo N55 ,A,7,40.47021772,-3.71769486,111.24,188
23,719,PEÑAGRANDE,28029,Madrid,Cmno de Ganapanes N35 ,A,7,40.47592352,-3.71582416,185.83,116
24,901,HERRERA ORIA,28034,Madrid,Calle de Valencia de Don Juan N1 ,A,9,40.48466278,-3.70751021,121.53,174
25,902,BARRIO DEL PILAR,28029,Madrid,Calle de Ginzo de Limia N22 ,A,9,40.47688907,-3.7031645,259.95,66
26,1019,CUATRO VIENTOS,28024,Madrid,Col   Militar de Cuatro Vientos N6B,A,10,40.37770689,-3.7915152,286.91,55
27,908,CONCHA ESPINA,28002,Madrid,Calle del Príncipe de Vergara N210 ,A,9,40.45144843,-3.67738012,111.56,187
28,903,VENTILLA,28029,Madrid,Avda de Asturias N39 ,A,9,40.46943538,-3.69588333,116.75,179
29,905,DUQUE DE PASTRANA,28036,Madrid,Calle de Mateo Inurria N41 ,A,9,40.46762585,-3.67917055,53.9,232
30,906,PIO XII,28016,Madrid,Avda de Pío XII N27 ,A,9,40.46300276,-3.67579015,114.42,183
31,310,ARGÜELLES,28015,Madrid,Calle de Alberto Aguilera N72 ,A,3. 4. 6,40.43066093,-3.71596265,683.51,9
32,418,MAR DE CRISTAL,28033,Madrid,Gta de Mar de Cristal N1 ,A,4. 8,40.46938379,-3.63832022,262.01,65
33,760,HOSPITAL DEL HENARES,28822,Coslada,Cmno del Tiro NSN ,B1,7,40.41761002,-3.53453497,246.43,75
34,307,CALLAO,28013,Madrid,Plaza del Callao N3 ,A,3. 5,40.4201365,-3.70566124,636.41,15
35,212,SAN BERNARDO,28015,Madrid,Calle de San Bernardo N94 ,A,2. 4,40.43001276,-3.70556993,213.82,95
36,104,ESTRECHO,28020,Madrid,Calle de Bravo Murillo N191 ,A,1,40.45428803,-3.70302296,427.2,28
37,1209,MANUELA MALASAÑA,28938,Móstoles,Plaza   Sol de 9001 SNSN ,B2,12,40.30903006,-3.8640212,100.81,203
38,209,OPERA,28013,Madrid,Plaza de Isabel II N9 ,A,2. 5. R,40.41809334,-3.7093496,492.93,22
